titolo,prezzo,anno,km,marca,modello,carburante,cambio,regione,provincia,city,venditore,tipo_venditore,url,descrizione,posti_letto,posti_viaggio,lunghezza_mm
Fiat Ducato Mansardato Adria Matrix 670 SC,24500,2017,85000,Adria,Matrix 670 SC,Diesel,Manuale,Lombardia,Milano,Milano,Autocaravan Center Milano,dealer,https://example.com/listing/1,Ottimo mansardato con garage posteriore grande. Doppio pavimento. Pannelli solari 200W. Clima. Ottime condizioni generali.,6,5,7100
Knaus Sun TI 650 MEG Integrato,38000,2020,42000,Knaus,Sun TI 650 MEG,Diesel,Automatico,Veneto,Verona,Verona,Privato Rossi,private,https://example.com/listing/2,Integrato praticamente nuovo. Full optional. Navigatore. Telecamera posteriore. Tendalino Fiamma. Mai campeggiato in tenda.,4,4,7490
Hymer B 534 Cl Semintegrato,31500,2018,61000,Hymer,B 534 Cl,Diesel,Manuale,Toscana,Firenze,Firenze,Camper Toscana SRL,dealer,https://example.com/listing/3,Semintegrato Hymer in perfette condizioni. Garage medio. Pannello solare. Riscaldamento Truma Combi 6E.,4,5,6990
Chausson Welcome 22,16800,2014,112000,Chausson,Welcome 22,Diesel,Manuale,Piemonte,Torino,Torino,Mario Bianchi,private,https://example.com/listing/4,Mansardato economico ideale per famiglie. Tettuccio a soffietto. Cucina completa. Bagno separato. Qualche piccolo difetto cosmetico da sistemare.,6,6,6830
Laika Ecovip 309,19900,2016,74500,Laika,Ecovip 309,Diesel,Manuale,Emilia-Romagna,Bologna,Bologna,Autocaravan Bologna,dealer,https://example.com/listing/5,Bellissimo semintegrato Laika con allestimento molto curato. Letto alla francese trasversale. Garage posteriore medio.,4,4,7290
Pilote Pacific P696C Diamond,52000,2022,18000,Pilote,Pacific P696C,Diesel,Automatico,Lazio,Roma,Roma,Pilote Roma Official,dealer,https://example.com/listing/6,Integrato di lusso quasi nuovo. Letti gemelli fissi. Garage grande. Full optional. Garanzia costruttore 2 anni restanti.,2,4,7290
Roller Team Kronos 265 TL,27800,2019,55000,Roller Team,Kronos 265 TL,Diesel,Manuale,Campania,Napoli,Napoli,Sud Camper Napoli,dealer,https://example.com/listing/7,Mansardato con letti a castello. Ideale per famiglie numerose. 6 posti letto. Doppio pavimento. Riscaldamento diesel autonomo.,6,6,7350
Rimor Europeo 64 Plus,13500,2011,148000,Rimor,Europeo 64 Plus,Diesel,Manuale,Sicilia,Palermo,Palermo,Camper Sicilia,dealer,https://example.com/listing/8,Mansardato usato con buona meccanica. Ideale come primo camper o per chi vuole risparmiare. Cucina a gas. Tenda da sole. Frigo 3 vie.,6,6,6950
Trigano Randger 472 LE,9800,2009,193000,Trigano,Randger 472 LE,Diesel,Manuale,Puglia,Bari,Bari,Privato Greco,private,https://example.com/listing/9,Mansardato economico in buone condizioni per l'anno. Meccanica revisionata. Nuovo frigo. Nuova batteria di servizio. Ideale low cost.,6,4,6790
Sunlight T 68,44000,2021,29000,Sunlight,T 68,Diesel,Automatico,Liguria,Genova,Genova,Riviera Camper,dealer,https://example.com/listing/10,Bellissimo integrato moderno con letti gemelli fissi e garage enorme. Pannelli solari 300W. Clima. Cambio automatico. Perfetto per viaggi lunghi.,2,4,7390
